A_count	T_count	G_count	C_count	Geneid	d11_KO_Lhx8	d11_KO_Stat3	d11_KO_Sub1	d13_KO_Ccnk	d13_KO_Dynll1	d13_KO_Ell3	d13_KO_Foxr1	d13_KO_Hes6	d13_KO_Kdm1b	d13_KO_Mef2b	d13_KO_Nobox	d13_KO_Noto	d13_KO_Sfr1	d13_KO_Tbpl2	d13_KO_Tcf25	d13_KO_Thap7	d13_KO_Ybx3	d11_WT	d13_WT
14	15	39	32	Mknk2	163.28	246.655	198.235	126.045	288.59	48.665	79.03	50.165	59.38	72.005	260.01	66.14	75.615	116.78	76.835	66.165	83.045	97.445	58.705
22	20	21	37	Mlf1	357.425	380.46	258.065	53.09	198.195	8.485	12.485	12	10.77	10.695	78.185	19.805	14.385	256.885	8.94	19.905	144.18	42.31	8.965
28	21	26	25	Mllt10	64.835	73.085	76.24	37.36	59.32	25.305	28.58	22.905	31.14	26.375	47.27	32.655	31.09	50.13	33.44	28.35	35.905	45.71	29.46
9	14	51	26	Aff1	16.355	13.22	19.465	40.55	13.175	51.755	66.46	50.635	45.135	64.315	43.775	51.495	58.205	18.43	62.445	33.16	35.16	21.12	56.04
8	3	52	37	Mllt4	92.29	106.875	108.23	214.595	92.38	174.705	216.86	155.18	161.62	208.675	140.125	190.775	190.965	141.835	216.64	163.645	138.8	153.285	208.235
19	15	29	37	Marcksl1	327.685	418.675	437.975	261.6	536.51	205.005	205.97	179.15	228.635	199.135	201.025	272.205	231.005	297.505	241.86	292.215	266.455	411.345	220.14
5	11	33	51	Foxk1	15.01	14.59	21.565	30.055	23.105	19.73	30.405	18.79	26.245	27.195	47.11	28.94	28.2	16.695	27.675	20.12	25.01	35.885	26.955
8	14	31	47	Me1	32.545	30.74	27.51	53.61	14.695	68.795	77.93	91.89	79.62	72.825	26.43	67.125	90.82	30.345	92.85	58	59.77	43.585	76.69
18	21	32	29	Mdh2	701.73	671.64	704.37	1034.375	1256.92	846.13	686.16	843.595	835.8	851.79	1002.825	933.425	901.375	876.705	784.605	1031.915	828.89	1089.835	938.795
23	17	31	29	Mdh1	207.25	166.16	172.715	192.97	229.685	189.31	164.35	194.735	191.685	191.36	275.235	187.055	192.965	215.105	180.02	219.29	218.35	277.465	196.61
30	17	27	26	Morc1	10.375	3.77	7.055	14.89	95.515	19.325	18.955	23.085	22.22	17.605	29.76	19.36	22.145	11.625	16.81	14.405	10.11	7.515	18.95
25	40	24	11	Mos	1.655	0.99	3.415	42.02	0.47	180.08	170.155	237.515	148.59	204.99	0.055	98.6	167.9	21.105	151.325	87.48	95.66	18.27	155.27
16	22	40	22	Mov10	28.28	74.305	60.155	12.69	117.645	7.875	12.095	8.54	12.17	11.55	65.09	14.31	12.245	34.26	14.94	14.255	21.445	30.44	15.81
22	16	32	30	Psmd7	174.995	154.005	162.19	128.38	225.42	119.515	128.44	120.325	150.18	114.64	156.365	113.005	123.62	189.815	134.565	147.49	151.5	176.47	119.745
22	17	36	25	Mpp1	23.02	20.09	37.57	11.895	24.745	11.98	14.61	15.915	16.53	14.43	19.685	8.995	15.27	21.08	14	14.8	18.52	11.77	9.16
18	28	27	27	Mre11a	116.355	187.165	119.22	47.46	126.345	26.18	36.25	27.725	34.81	30.605	63.225	25.78	30.355	106.86	27.695	30.82	56.51	40.91	25.02
33	12	1	54	Meis2	1.585	3.425	1.685	8.57	10.845	21.82	27.66	32.15	17.41	23.56	1.82	14.375	26.195	7.54	20.18	13.05	9.02	3.345	18.715
17	24	29	30	Cited2	172.685	106.51	116.48	59.745	85.97	53.045	65.125	44.73	52.99	54.23	330.85	54.305	67.395	74.875	42.56	53.525	91.08	79.1	40.525
18	11	48	23	Msh2	87.745	107.105	65.92	67.49	220.355	45.21	54.3	42.795	52.88	47.435	121.62	42.655	52.2	91.215	62.565	47.055	45.935	80.86	46.5
13	12	37	38	Msh6	58.265	68.845	52.035	89.475	133.675	70.825	87.135	71.14	76.465	73.725	71.795	58.83	91.43	85.185	97.275	72.97	68.97	85.915	83.845
10	9	45	36	Msl3	35.455	16.675	35.04	161.435	9.485	196.285	187.705	184.1	170.52	175.685	67.915	192.82	178.195	86.235	197.825	183.375	123.315	130.185	194.115
19	3	51	27	Msn	28.73	42.755	70.02	3.84	43.475	6.66	9.665	4.725	14.435	8.03	16.595	5.82	6.645	24.955	2.44	5.4	18.44	14.205	2.525
25	15	36	24	Grpel1	110.19	85.095	110.595	113.54	105.315	114.12	94.485	109.06	115.525	103.03	125.23	119.615	102.605	121.435	108.36	127.54	113.575	119.83	114.79
19	19	31	31	Mt1	1098.865	660.36	1039.425	88.95	669.18	21.355	30.91	39.435	94.38	33.51	1541.535	47.615	43.43	467.755	8.925	100.845	522.88	724.675	16.36
21	14	44	21	Mt2	531.055	304.675	703.135	53.795	536.45	21.01	18.375	22.42	52.72	23.295	1632.875	32.09	27.215	303.825	7.435	52.275	156.945	359.11	17.275
9	15	42	34	Map4	116.185	202.815	155.455	115.715	188.105	67.455	90.435	61.32	78.025	82.325	130.71	84.6	92.84	101.6	107.475	76.26	89.6	105.885	80.615
8	19	34	39	Mtf2	82.005	98.745	82.21	34.82	117.575	25.3	34.98	26.51	37.76	25.635	62.795	33.95	29.935	54.23	33.065	27.795	44.205	41.18	30.845
14	20	27	39	Nudt1	42.295	36.075	18.795	108.76	64.125	149.69	108.67	133.915	142.515	117.125	76.21	135.52	114.86	72.87	129.985	139.39	106.595	120.07	143.245
19	18	32	31	Mthfd2	49.835	66.695	51.745	71.025	168.215	59.49	63.48	68.74	70.3	63.565	30.235	44.125	76.84	51.58	76.9	50.625	48.155	40.18	49.815
20	12	22	46	Mtl5	123.64	153.06	122	13.18	55.935	1.07	3.15	0.69	0.52	1.84	23.065	4.425	1.645	71.475	1.78	2.765	42.13	8.39	1.59
24	37	17	22	Laptm4a	673.42	543.51	516.73	393.47	543.19	369.58	349.02	363.555	400.48	358.925	465.5	389.17	358.635	562.17	381.42	429.865	481.375	595.115	392.21
4	9	54	33	Mast2	82.57	109.1	110.665	165.8	102.57	111.285	145.355	107.17	120.22	142.53	134.18	128.095	168.035	108.19	171.85	120.91	100.095	113.395	136.66
16	15	27	42	Mtx1	164.035	180.65	131.94	94.585	163.84	70.465	70.5	73.33	66.215	82.005	66.895	82.815	77.795	169.165	68.295	89.45	113.64	85.905	70.34
14	26	28	32	Commd1	328.97	297.645	376.855	379.89	229.1	412.765	314.235	382.61	396.58	353.53	221.285	461.15	297.82	414.415	280.86	410.94	409.315	393.4	401.225
2	10	23	65	Usp34	116.86	163.505	145.8	105.72	118.885	74.49	94.32	65.365	76.16	89.465	112.26	86.79	92.35	116.915	106.415	85.62	95.18	88.065	94.39
8	18	33	41	Mybl2	16.79	28.13	33.35	192.09	68.925	176.895	212.975	179.105	185.84	199.81	37.615	172.01	208.375	77.855	221.415	145.865	106.45	121.96	180.27
16	25	24	35	Ppp1r15a	148.695	144.44	117.585	48.06	140.84	21.77	38.22	26.42	48.06	32.8	129.335	40.575	38.845	132.58	28.295	39.245	114.755	106.905	14.09
21	13	26	40	Gadd45b	218.145	138	193.72	48.105	93.035	21.345	32.44	22.82	43.125	24.465	157.13	40.57	30.01	135.425	15.345	36.53	152.35	163.68	13.17
16	18	37	29	Myh9	61.865	68.93	77.64	199.725	107.755	155.28	228.375	153.76	166.885	204.85	268.65	141.095	205.76	81.88	247.09	128.805	108.6	125.68	208.44
18	21	24	37	Mylpf	31.99	13.87	18.99	12.835	122.275	13.04	9.28	6.915	4.645	9.38	13.43	15.23	7.68	25.07	7.025	13.645	14.555	24.28	12.405
15	19	48	18	Myo10	18.03	12.695	8.55	56.39	41.28	49.485	84.03	48.07	55.375	70.75	69.085	47.245	69.29	23.565	70.045	43.4	44.07	36.285	61.95
9	9	48	34	Myo1b	68.085	59.675	48.185	45.13	47.625	49.08	64.295	63.935	66.47	52.75	123.565	52.615	59.775	56.3	61.2	45.74	61.53	70.495	51.555
19	10	40	31	Myo1c	24.34	29.785	44.915	13.045	38.71	11.185	16.71	13.315	13.59	12.39	11.605	11.89	18.365	16.19	17.935	10.935	19.61	20.39	13.175
12	11	40	37	Myo5b	19.065	12.265	16.935	217.34	8.155	218.02	274.835	211.37	188.58	260.185	26.615	186.405	269.355	65.105	288.86	160.98	114.305	88.595	231.525
12	15	33	40	Myo9b	99.83	184.16	137.41	67.76	119.785	41	53.365	41.565	51.405	50.335	72.54	51.435	55.405	94.06	56.37	47.185	81.325	54.95	51.03
11	10	32	47	Ppp1r12a	98.68	136.96	87.985	36.465	105.765	25.85	34.43	23.585	29.715	26.04	70.685	30.075	28.225	72.03	35.75	27.35	48.97	55.875	28.335
16	26	29	29	Nap1l4	255.345	280.405	269.345	575.895	420.63	699.985	669.855	690.945	691.185	609.16	279.94	559.745	635.405	408.915	751.775	610.885	497.07	495.28	695.075
23	33	29	15	Nbr1	106.08	148.26	105.7	60.245	132.375	37.48	50.43	40	39.4	42.485	91.875	44.035	51.47	90.37	50.41	42.005	64.845	49.45	36.615
14	14	30	42	Ncl	395.125	475.745	373.845	204.835	508.445	163.575	192.985	168.205	190.745	161.49	237.945	136.885	184.13	372.575	224.405	195.16	235.765	283.36	177.155
13	13	40	34	Ncoa2	31.98	58.085	48.66	40.93	35.705	27.855	37.51	24.285	36.53	34.05	70.02	42.3	40.535	35.095	48.625	29.185	32.89	33.02	33.06
9	11	34	46	Tram1	68.705	96.615	76.965	152.345	111.275	131.27	178.485	148.005	156.735	147.26	302.53	137.07	160.455	96.045	169.255	134.78	108.95	124.685	140.32
20	25	18	37	Ndufa2	718.76	581.2	729.75	485.495	566.87	675.125	468.26	577.485	564.86	519.34	535.195	770.495	439.25	662.27	460.815	634.775	621.125	576.765	623.275
15	22	33	30	Ndufa4	960.98	857.225	912.605	1137.525	597.66	1563.705	1150.255	1231.535	1374.395	1126.51	1183.05	1764.22	912.46	1173.795	1043	1404.84	1269.61	1091.14	1495.47
28	23	25	24	Ndufs4	197.875	218.52	206.875	146.665	199.415	151.585	127.68	162.215	165.065	143.895	146.225	176.63	124.91	218.95	134.55	180.055	156.605	200.115	175.98
24	17	31	28	Ndufv1	315.075	327.485	329.865	497.31	397.68	411.875	425.02	414.57	411.36	447.735	394.105	389.75	423.915	450.185	469.425	493	403.66	495.725	416.965
13	15	33	39	Nedd1	38.58	44.77	40.765	21.03	40.1	17.05	19.955	17.595	23.43	18.08	34.31	17.705	19.96	40.775	19.365	20.79	27.785	29.335	18.215
5	13	28	54	Nedd4	231.845	329.63	273.7	47.235	340.035	25.41	41.995	29.175	56.66	36.09	130.145	40.84	37.665	191.5	30.435	46.36	166.135	163.565	25.47
18	12	42	28	Sept2	117.815	209.12	118.79	34.435	181.525	15.575	28.78	18.715	33.86	22.4	115.495	27.04	26.96	83.37	25.205	27.77	66.34	86.07	16.465
27	13	36	24	Nedd8	833.28	651.075	858.005	1012.82	725.855	1252.205	945.025	1108.115	1056.645	1034.125	883.775	1335.855	941.445	1017.085	935.91	1220.595	980.01	1063.63	1173.05
10	15	24	51	Nek1	116.86	161.815	110.475	77.02	77.33	47.86	59.525	45.58	53.515	50.69	123.465	57.785	56.14	96.215	52.395	56.045	66.045	56.77	58.545
22	24	25	29	Nek2	41.58	61.62	57.445	27.12	98.155	13.94	23.54	19.45	17.955	18.615	32.065	18.445	23.8	48.085	27.365	20.73	30.46	20.75	14.98
17	22	27	34	Marc2	154.295	114.15	108.43	129.555	91.22	109.27	122.845	121.985	136.63	124.195	93.285	107.435	131.095	143.87	121.75	129.16	170.745	167.56	103.205
17	21	32	30	Nf2	86.715	126.645	105.935	66.04	132.5	33.01	47.73	34.585	44.88	42.48	100.695	43.35	57.84	62.415	61.785	44.785	61.47	57.865	39.015
23	17	41	19	Nfatc2ip	49.93	87.07	46.625	23.97	92.24	8.93	18.235	9.51	17.185	13.07	61.605	14.78	15	40.095	14.58	16.535	26.84	22.83	15.955
15	30	30	25	Nfe2l1	116	149.125	148.21	149.55	151.655	118.815	158.69	113.53	130.605	136.385	199.04	133.09	154.265	121.165	171.205	121	134.525	158.48	141.355
10	9	48	33	Nfil3	50.51	49.495	52.925	55.515	24.405	40.655	57.01	49.805	54.94	52.605	32.03	37.83	52.435	44.91	47.4	44.325	63.755	111.19	33.72
13	20	30	37	Nfs1	75.625	85.84	78.225	132.865	88.565	112.06	107.96	116.405	114.965	116.36	104.915	124.04	112.275	99.42	112.05	122.03	102.16	120.135	125.31
12	19	44	25	Nfya	51.875	62.07	53.445	75.075	54.39	63.995	72.115	67.315	78.345	73.56	61.25	60.2	79.395	63.855	68.11	64.275	65.525	73.765	70.045
22	32	27	19	Nfyc	45.24	48.19	56.255	53.595	44.105	52.985	50.575	58.83	40.015	56.93	32.24	54.115	52.52	55.31	43.14	53.51	44.285	52.455	54.215
17	21	35	27	Nid2	32.18	55.105	26.065	6.325	76.44	0.895	5.48	1.86	8.235	5.1	39.915	3.84	3.9	23.4	0.525	2.915	13.225	7.97	0.935
12	14	32	42	Nin	4.335	2.465	6.735	24.06	2.88	21.705	27.14	22.63	25.915	24.95	9.32	26.425	29.93	9.795	30.75	17.52	19.945	10.43	23.69
5	9	59	27	Ninj1	140.955	60.05	167.39	469.785	61.905	415.57	413.275	471.04	423.87	489.805	319.635	410.8	496.39	316.31	401.975	476.135	377.29	511.015	391.395
13	24	34	29	Nipsnap1	43.96	38.425	55.105	153.44	67.125	133.34	142.775	151.2	156.41	154.375	166.975	148.17	155.075	120.19	147.695	181.31	143.04	220.125	138.33
14	11	34	41	Nktr	157.1	194.21	162.945	75.32	143.685	43.19	60.175	38.445	54.89	49.77	108.2	69.125	53.42	103.27	59.83	48.755	88.87	73.05	55.695
12	10	45	33	Mrpl40	170.16	142.385	169.755	145.395	149.28	146.13	126.525	135.315	113.665	132.52	159.87	155.655	126.965	162.655	127.81	168.525	135.825	165.965	127.3
27	21	32	20	Nme1	290.99	266.735	324.815	212.535	373.215	175.315	158.81	167.755	237.44	161.905	319.2	220.76	167	317.475	183.49	248.735	210.745	352.08	203.195
28	19	36	17	Nme2	84.52	92.08	104.38	49.14	132.32	48.865	42.93	36.755	57.945	39.965	60.085	58.165	38.725	106.1	42.625	54.25	62.86	58.57	53.2
17	20	29	34	Nqo1	6.77	3.42	2.8	2.365	9.685	3.83	3.615	3.355	3.69	4.19	191.46	4.55	5.585	3.79	2.415	5	7.625	4.1	4.335
25	20	23	32	Nmt1	104.35	87.965	108.9	159.525	106.735	111.225	129.3	134.92	127.68	128.225	146.705	105.68	177.475	102.97	153.06	138.6	120.525	129.29	106.105
11	11	52	26	Nmt2	306.43	517.205	318.275	130.27	380.9	54.66	77.58	51.78	84.17	67.36	221.34	66.485	82.09	222.36	102.56	79.64	155.26	163.215	60.2
15	24	17	44	Mycn	15.975	33.775	16.37	1.055	54.05	0.125	0.445	0.58	0.795	0.09	8.815	1.55	0.235	17.44	0.03	1.88	5.405	1.915	0.11
13	23	33	31	Rrp1	192.92	163.49	190.81	163.33	155.015	94.345	124.1	94.835	120.565	111.235	206.605	106.5	113.96	175.22	110.565	138.435	165.925	196.12	95.645
15	16	41	28	Nos1	12.93	9.56	23.38	171.845	11.41	138.755	186.565	111.26	126.805	172.28	79.435	151.52	190.07	61.325	206.56	145.22	92.85	116.775	154.72
27	14	36	23	Ints6	167.115	161.695	134.815	71.99	125.015	28.74	37.605	23.02	34.355	29.885	198.1	51.91	37.275	102.395	37.44	40.825	73.52	73.275	34.07
18	18	25	39	Uhrf1	59.375	51.86	58.41	562.93	96.9	685.335	851.635	688.155	715.69	749.835	111.385	567.72	730.445	206.135	903.715	457.685	344.61	325.235	881.01
17	14	34	35	Npc1	42.415	52.935	56.695	45.005	47.905	27.895	35.235	26.865	32.235	31.145	54.44	33.165	35.415	46.37	41.875	30.14	54.77	63.825	32.68
11	16	43	30	Npm3	104.1	74.6	114.57	61.63	69.61	59.78	56.53	55.81	71.28	46.755	69.815	57.09	44.845	81.095	60.155	74.46	72.225	132.235	76.19
29	14	33	24	Nsdhl	51.185	44.545	50.535	70.25	63.14	83.64	85.71	87.925	108.02	94.505	90.45	76.325	103.615	51.145	103.225	87.63	59.64	78.315	89.415
7	8	50	35	Nsf	40.75	54.785	47.705	200.33	48.315	367.37	421.705	436.98	349.915	411.89	39.58	242.81	432.18	116.26	454.545	258.055	196.225	126.625	398.775
9	20	33	38	Ntan1	61.025	66.32	89.7	59.65	85.72	50.99	53.495	61.46	51.035	52.77	77.845	66.24	53.46	64.315	52.165	62.895	63.195	69.005	52.395
21	17	39	23	Nucb1	292.32	297.19	242.695	187.065	160.495	203.725	210.36	227.68	210.805	224.195	237.325	188.89	213.775	271.86	207.99	203.985	241.21	198	204.57
21	18	40	21	Nudc	196.195	223.475	238.41	395.795	349.22	536.555	494.9	511.27	460.985	490.08	245.59	430.815	465.255	296.51	495.31	467.4	330.86	326.12	500.83
18	17	44	21	Nup62	188.22	223.235	214	148.035	302.565	100.445	124.725	97.065	116.275	107.45	184.91	85.225	137.35	180.08	134.89	107.61	103.55	181.66	99.59
17	22	25	36	Gpr143	3.25	2.26	5.265	75.495	2.19	54.755	57.61	47.28	57.795	53.82	81.015	66.855	49.835	57.665	53.03	72.425	28.855	77.215	50.825
17	18	40	25	Oat	214.26	199.02	178.27	171.32	129.205	137.795	139.565	149.39	147.895	155.375	294.29	131.435	146.83	186.24	146.8	165.44	191.195	184.5	161.62
9	23	30	38	Oaz1	157.36	137.23	157.99	100.835	122.39	87.645	90.095	83.705	104.485	81.085	87.435	99.995	86.115	129.125	94.81	100.185	101.315	179.72	89.41
12	20	41	27	Oaz2	101.255	117.155	85.88	59.97	68.66	51.48	70.28	54.115	69.485	59.955	60.725	51.45	62.355	89.05	69.865	64.12	71.455	67.665	48.985
6	8	30	56	Odc1	77.11	54.47	73.04	67.07	65.95	63.425	58.96	62.62	98.555	63.24	59.85	62.73	66.16	81.325	72.73	66.58	70.94	66.98	59.205
14	15	45	26	Odf2	40.37	44.435	54.195	139.655	82.89	97.35	130.425	105.135	118.555	114.87	135.98	117.7	137.755	85.705	123.65	118.835	97.855	106.9	101.49
17	16	28	39	Nobox	80.53	30.98	127.955	1308.16	48.56	1458.62	1408.645	1457.23	1371.165	1483.84	0.255	1328.905	1434.16	582.635	1491.945	1436.32	932.225	942.295	1383.89
22	23	21	34	Sebox	0	0	0	2.925	0	13.385	17.48	22.365	11.34	16.085	0	14.595	19.805	0.28	17.735	6.98	6.645	0.34	16.215
18	19	28	35	Ogdh	128.3	133.34	118.19	142.05	106.14	96.43	125.185	108.14	120.965	123.815	149.81	92.135	126.215	128.145	135.33	116.965	115	119.19	120.215
36	22	13	29	Omt2a	1.495	0.5	1.725	17.1	0	60.015	52.84	82.075	53.07	51.74	7.115	35.65	44.39	9.54	56.25	38.1	34.965	14.63	58.575
23	17	25	35	Sigmar1	50.38	51.665	41.35	35.82	65.02	30.015	34.395	37.46	35.28	34.01	41.655	37.045	41.965	54.785	45.64	36.9	40.785	56.325	23.705
19	22	33	26	Orc1	53.38	66.67	46.915	58.01	64.765	33.14	41.13	34.01	35.835	37.24	28.375	36.07	38.95	52.545	43.885	38.385	41.925	46.39	34.995
24	18	23	35	Orc2	93.68	109.1	95.775	59.625	114.27	50.775	63.05	52.865	58.495	50.76	69.99	47.265	64.48	67.27	71.83	57.86	71.475	73.54	54.455
14	14	49	23	Slc25a15	15.8	19.79	19.965	153.815	30.87	176.98	208.98	186.91	176.83	172.825	67.545	139.58	191.995	74.32	206.17	136.265	113.715	105.765	185.8
14	13	37	36	Sqstm1	385.27	318.59	386.505	171.455	265.06	115.485	146.36	136.02	186.6	146.215	395.195	134.16	152.3	296.715	133.2	146.91	265.19	432.925	134.815
12	22	31	35	Hspa4l	119.755	129.755	139.15	124.255	89.105	78.45	96.725	80.34	89.44	88.18	84.465	83.385	98.715	101.41	104.22	86.08	111.025	102.645	97.6
16	20	27	37	Mybbp1a	92.62	147.19	130.805	87.02	288.81	55.265	67.78	49.525	69.6	63.145	115.575	59.9	68.165	125.045	82.55	69.535	76.735	99.465	63.27
11	12	43	34	P4hb	552.79	588.005	632.24	563.635	710.64	431.835	499.635	487.34	466.685	521.24	497.41	423.99	578.03	469.715	547.215	493.975	515.955	521.765	454.855
11	15	48	26	Pabpc1	506.275	579.52	546.8	388.25	886.13	234.285	260.465	225.085	291.54	250.065	630.045	304.725	267.76	552.91	281.79	306.32	349.12	422.12	250.455
5	10	37	48	Pafah1b1	137.235	143.265	128.855	147.325	109.145	136.345	164.785	131.71	143.45	132.905	97.535	134.81	156.16	138.045	169.655	136.745	140.67	131.895	148.485
23	8	34	35	Pafah1b2	113.135	177.68	154.105	77.92	143.175	67.03	73.16	61.34	76.065	58.795	98.525	67.03	63.23	107.26	72.81	68.935	81.63	106.115	71.165
22	22	23	33	Pafah1b3	247.405	342.51	260.625	327.045	307.81	379.46	290.15	327.75	326.68	344.35	299.49	359.425	308.94	304.835	286.765	371.125	257.025	292.21	329.6
16	17	28	39	Prdx1	709.655	481.235	640.79	702.235	643.835	1083.715	790.55	1018.47	1026.295	814.98	374.04	988.405	803.395	657.95	738.61	877.06	869.705	733.06	1131.59
11	7	52	30	Pak1	98.325	116.635	102.49	117.505	98.275	105.735	130.965	116.115	104.635	113.71	87.42	83.15	121.245	88.385	113.475	85.525	102.315	44.18	101.83
10	11	49	30	Pbx2	73.94	102.56	87.97	78.2	189.305	77.595	88.66	72.605	82.305	87.74	154.545	85.245	83.44	81.66	86.53	90.725	66.995	81.41	80.82
7	7	40	46	Pbx3	236.985	244.975	167.96	41.815	82.715	9.445	19.23	10.95	11.735	13.305	69.66	18.855	16.6	124.66	16.815	15.215	91	40.185	14.57
24	24	28	24	Igbp1	122.045	85.13	102.64	323.16	68.95	333.76	285.3	330.525	287.5	299.21	268.465	354.315	285.635	229.495	277.495	355.455	246.515	240.19	324.665
10	7	24	59	Pcbp2	1227.87	1103.79	1102.91	900.26	839.625	948.905	970.675	1006.53	906.83	956.535	981.93	934.945	903.32	984.455	857.56	895.725	962.21	876.465	960.955
11	16	22	51	Pcm1	83.825	105.845	84.785	60.885	95.185	41.945	54.44	39.445	49.22	46	76.52	45.02	47.08	80.7	60.845	45.905	55.55	52.275	52.815
29	11	31	29	Pcmt1	146.59	114.925	107.665	82.545	99.86	84.095	78.405	81.735	82.12	84.545	102.595	82.34	75.265	116.385	74.045	91.235	99.595	108.28	85.76
20	15	40	25	Pcna	156.545	162.305	82.73	84.21	121.335	71.065	75.955	67.825	76.62	68.98	103.76	69.87	74.82	146.94	69.865	80.47	92.13	122.84	84.22
19	19	30	32	Pcnt	20.965	26.76	24.9	38.62	34.23	36.49	57.13	44.35	39.82	48.25	55.095	32.415	52.995	18.64	59.53	28.965	24.175	20.83	45.635
10	21	21	48	Pcolce	124.425	77.915	56.82	16.925	31.635	7.57	26.02	18.045	37.14	17.095	49.185	21.82	16.35	80.99	3.345	28.075	121.505	86.035	3.39
26	26	14	34	Furin	43.63	59.945	64.775	106.9	38.645	71.555	104.25	69.695	91.01	93.625	108.955	85.9	96.42	45.245	111.905	64.335	66.395	96	90.025
7	10	33	50	Pcsk6	209.695	179.42	121.325	40.285	72.46	10.725	28.045	16.235	36.825	22.925	122.355	29.69	25.34	118.29	13.45	48.41	176.18	244.295	8.475
25	25	28	22	Cdk16	356.055	422.73	370.71	312.23	358.815	208.125	266.03	200.455	253.375	250.495	360.075	254.055	296	285.635	308.97	244.55	277.795	324.28	244.405
23	20	38	19	Pcx	190.425	240.065	180.975	120.03	140.105	74.715	109.13	71.67	70.91	103.23	64.905	84.71	89.325	163.545	82.53	78.415	122.73	60.92	96.65
13	25	19	43	Pdcd2	106.3	68.955	94.77	129.61	129.26	114.435	118.435	119.165	112.265	119.665	160.015	127.91	123.895	114.98	126.53	143.275	124.54	192.76	128.38
20	20	33	27	Pdcd4	154.28	169.935	124.015	108.39	227.455	93.07	109.045	88.875	99.185	92.73	186.345	85.3	88.805	116.77	94.735	88	97.73	118.36	90.995
27	9	33	31	Pdcd6	73.34	74.09	87.18	55.9	110.29	43.59	56.45	54.63	48.9	52.19	71.495	39.305	64.665	63.93	52.635	53.91	64.52	79.45	44.25
16	12	32	40	Pdcd6ip	110.69	121.465	129.85	137.56	97.91	102.035	131.59	94.9	97.075	120.185	119.415	106.59	124.07	117.41	131.01	113.75	107.84	124.98	126.885
17	18	26	39	Pdcd11	51.065	69	53.16	35.895	114.835	19.39	22.36	14.73	23.145	19.3	47.45	20.895	25.315	49.5	27.635	22.135	32.01	36.16	23.735
11	4	49	36	Pde3b	58.85	73.215	57.225	13.31	30.02	6.36	6.865	5.305	5.65	6.43	9.825	6.165	6.7	37.295	7.87	5.255	19.88	6.52	7.58
26	18	36	20	Pde6d	452.985	528.525	476.985	162.225	249.335	138.25	127.955	134.005	155.52	121.9	217.835	149.35	152.165	386.17	145.705	181.185	257.98	160.695	139.695
12	7	31	50	Pde8a	65.11	80.385	57.85	31.75	36.285	23.185	30.835	21.175	24.84	27.705	51.32	28.475	29.285	46.44	18.76	24.21	38.505	21.965	25.355
11	15	21	53	Pdgfa	62.315	63.095	60.17	68.685	88.395	41.52	44.66	44.445	58.225	46.905	208.85	43.655	45.89	45.48	45.14	45.67	54.76	78.865	43.235
17	20	30	33	Pdha1	97.765	131.325	80.76	141.155	116.105	112.505	118.58	115.58	119.425	117.435	112.21	106.18	118.775	143.23	132.38	118.355	110.545	106.56	114.485
21	31	11	37	Pdpk1	80.12	101.34	73.575	79.71	49.38	57.915	81.79	48.915	61.04	69.1	72.93	76.93	72.185	67.335	82.64	58.82	67.59	63.395	79.04
19	33	23	25	Pecam1	10.03	3.44	3.685	3.405	20.34	4.395	8.65	4.215	8.42	10.93	70.265	4.95	5.76	5.07	5.74	3.695	2.02	1.975	4.29
20	18	37	25	Peg3	122.73	107.46	74.86	83.255	63.505	66.495	79.08	62.3	78.795	69.7	109.14	134.425	78.03	96.725	85.36	74.63	97.4	92.06	79.36
28	24	33	15	Rhox5	217.355	293.355	129.17	44.685	676.935	14.65	13.52	9.16	12.38	12.105	189.1	23.19	7.675	226.935	8.195	41.035	62.53	28.615	12.65
23	19	23	35	Pemt	31.15	30.63	38.125	47.735	40.485	37.2	30.54	34.085	46.905	41.52	31.71	37.755	36.075	32.805	32.17	36.415	29.51	36.29	30.555
20	16	27	37	Pepd	148.665	162.01	141.755	112.74	100.885	79.825	81.025	76.095	86.44	80.03	107.96	79.17	91.14	119.645	76.725	84.145	82.155	80.85	77.41
16	42	19	23	Pet2	35.62	11.28	23.45	4.675	9.96	2.895	2.54	2.7	4.905	1.905	17.105	2.465	2.14	14.46	1.44	4.415	9.785	9.41	3.24
23	11	39	27	Pfdn2	580.355	497.785	528.775	523.755	457.6	606.605	577.115	572.475	626.385	540.36	557.445	675.575	472.155	567.615	583.625	614.295	507.165	674.17	706.26
18	18	31	33	Pfkl	14.26	15.39	13.055	50.205	26.12	23.685	33.605	24.975	26.69	30.19	19.635	22.26	31.395	21.855	38.375	24.84	33.485	33.35	29.51
22	13	41	24	Pfn1	1351.24	1395.48	1527.535	1533.07	1403.54	1778.205	1559.185	1733.055	2030.71	1579.535	1490.95	1859.82	1551.645	1490.45	1723.345	1743.4	1536.695	1965.88	1928.79
11	8	35	46	Pfn2	110.795	127.25	116.055	116.945	89.26	113.39	122.32	113.615	132.1	111.455	149.865	133.78	115.01	146.365	114.225	143.43	128.63	136.84	124.55
22	22	27	29	Pgp	77.775	95.65	123.245	76.06	154.54	115.075	110.77	119.145	112.85	117.355	153.055	117.33	141.21	137.725	122.57	144.065	123.9	175.815	130.54
